City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,egilsstadir,65.2653,-14.3948,7.95,53,20,7.72,IS,1684618613
213,revelstoke,50.9832,-118.2023,23.01,43,20,6.17,CA,1684618613
214,luena,-11.7833,19.9167,18.35,56,68,0.76,AO,1684618613
215,chania,35.5122,24.0156,17.78,82,75,5.14,GR,1684618613
216,ambodifotatra,-16.9833,49.85,25.03,82,46,4.6,MG,1684618614
217,ta`u,-14.2336,-169.5144,28.23,80,57,6.02,AS,1684618614
218,ilulissat,69.2167,-51.1,-0.99,93,100,4.63,GL,1684618614
219,ancud,-41.8697,-73.8203,9.97,86,100,10.33,CL,1684618614
220,nadi,-17.8,177.4167,26.0,78,75,0.0,FJ,1684618614
221,laojunmiao,39.8333,97.7333,6.4,42,94,3.3,CN,1684618614
222,macau,22.2006,113.5461,29.89,94,40,6.17,MO,1684618614
223,kingston,17.997,-76.7936,29.56,83,40,6.17,JM,1684618359
224,khandyga,62.6667,135.6,1.59,97,100,3.26,RU,1684618614
225,wladyslawowo,54.7909,18.4009,14.15,95,43,3.82,PL,1684618614
226,utrik,11.2278,169.8474,27.78,82,80,5.31,MH,1684618614
227,topki,55.2769,85.6163,8.89,58,65,3.95,RU,1684618614
228,college,64.8569,-147.8028,22.27,35,75,4.63,US,1684618615
229,elvas,38.8815,-7.1628,17.03,50,100,0.34,PT,1684618615
230,souillac,-20.5167,57.5167,22.21,94,20,2.06,MU,1684618615
231,pionerskiy,54.9508,20.2275,14.3,73,59,4.52,RU,1684618615
232,lianhe,47.1333,129.2667,9.92,79,96,1.45,CN,1684618615
233,bechar,31.6167,-2.2167,23.18,20,40,4.12,DZ,1684618615
234,massillon,40.7967,-81.5215,19.06,53,75,5.66,US,1684618615
235,senanga,-16.1167,23.2667,19.77,33,58,2.16,ZM,1684618615
236,sirte,31.2089,16.5887,20.23,72,0,0.96,LY,1684618615
237,tuburan,6.6439,122.2736,25.05,77,97,1.18,PH,1684618615
238,kailua-kona,19.6406,-155.9956,29.77,84,40,5.14,US,1684618566
239,hondomachi-hondo,32.45,130.2,19.04,84,0,1.38,JP,1684618615
240,khash,28.2211,61.2158,24.25,30,38,1.36,IR,1684618616
241,mugumu,-1.85,34.7,16.12,89,43,1.04,TZ,1684618616
242,shenjiamen,29.9576,122.298,18.9,94,99,6.83,CN,1684618616
243,mooloolaba,-26.6833,153.1167,13.37,69,0,0.45,AU,1684618540
244,springbok,-29.6643,17.8865,9.98,28,32,0.28,ZA,1684618616
245,murzuq,25.9155,13.9184,26.17,16,21,7.75,LY,1684618616
246,bude,50.8243,-4.5413,12.35,68,8,2.69,GB,1684618616
247,papao,-17.75,-149.55,29.82,77,40,1.44,PF,1684618616
248,hilo,19.7297,-155.09,29.04,79,40,4.12,US,1684618588
249,pemangkat,1.1667,108.9667,25.64,87,100,2.04,ID,1684618616
250,gdov,58.7406,27.8122,9.11,71,90,2.64,RU,1684618616
251,essaouira,31.5125,-9.77,18.72,74,19,1.03,MA,1684618616
252,luderitz,-26.6481,15.1594,13.97,52,0,6.04,NA,1684618617
253,flying fish cove,-10.4217,105.6791,25.82,88,100,5.14,CX,1684618617
254,kupang,-10.1667,123.5833,22.32,88,20,2.06,ID,1684618617
255,sittwe,20.15,92.9,26.84,84,4,1.33,MM,1684618531
256,takoradi,4.8845,-1.7554,26.22,86,100,4.67,GH,1684618617
257,prieska,-29.6641,22.7474,8.53,25,5,1.64,ZA,1684618617
258,al bayda',32.7627,21.7551,18.95,45,91,9.03,LY,1684618617
259,calais,50.9167,1.8333,13.38,93,62,6.36,FR,1684618617
260,las vegas,36.175,-115.1372,35.42,23,0,4.12,US,1684618607
261,lorengau,-2.0226,147.2712,26.57,86,100,5.86,PG,1684618617
262,tiruchchendur,8.4833,78.1167,28.49,80,1,7.83,IN,1684618617
263,hekimhan,38.818,37.9312,10.29,60,69,1.6,TR,1684618617
264,ostersund,63.1792,14.6357,13.25,35,57,3.6,SE,1684618617
265,ar ruways,24.1103,52.7306,28.71,63,100,5.14,AE,1684618617
266,codrington,-38.2667,141.9667,11.64,68,72,7.59,AU,1684618618
267,saint-pierre,-21.3393,55.4781,23.82,69,0,2.57,RE,1684618618
268,tazacorte,28.629,-17.9293,19.54,70,100,3.6,ES,1684618618
269,lata,40.1629,-8.3327,13.95,57,97,1.48,PT,1684618618
270,vaxjo,56.8777,14.8091,11.03,62,4,1.54,SE,1684618618
271,mersa matruh,31.3525,27.2453,19.9,65,93,4.77,EG,1684618618
272,zaragoza,41.6561,-0.8773,17.23,54,0,9.77,ES,1684618504
273,nguigmi,14.2495,13.1092,31.04,48,5,4.33,NE,1684618618
274,yanaul,56.2719,54.9309,11.13,57,7,1.84,RU,1684618618
275,gaoping,30.7758,106.1029,22.7,81,87,1.61,CN,1684618618
276,kruisfontein,-34.0033,24.7314,14.0,50,97,1.95,ZA,1684618618
277,san julian,21.0167,-102.1667,15.7,79,100,3.68,MX,1684618618
278,i-n-salah,27.1935,2.4607,24.62,18,0,0.88,DZ,1684618619
279,yulinshi,38.2906,109.7494,11.51,17,100,9.05,CN,1684618619
280,khovd,48.0056,91.6419,6.31,26,100,1.43,MN,1684618619
281,narrabri,-30.3167,149.7833,9.73,73,57,1.91,AU,1684618619
282,mont-dore,-22.2833,166.5833,22.22,99,100,2.04,NC,1684618619
283,pisco,-13.7,-76.2167,23.03,64,0,7.72,PE,1684618619
284,isola di capo rizzuto,38.96,17.0933,14.55,91,100,5.59,IT,1684618619
285,coquimbo,-29.9533,-71.3436,15.85,77,20,4.63,CL,1684618336
286,kushiro,42.975,144.3747,7.06,93,100,3.49,JP,1684618619
287,enewetak,11.3474,162.3373,28.06,79,99,6.57,MH,1684618619
288,amungan,15.3652,119.9582,27.21,81,82,1.99,PH,1684618619
289,joshimath,30.5667,79.5667,12.76,51,3,3.74,IN,1684618620
290,miyaly,48.8844,53.7836,12.61,83,0,3.24,KZ,1684618620
291,kokpekty,48.75,82.4,10.56,68,79,1.1,KZ,1684618620
292,kant,27.8,79.8,29.72,18,0,0.76,IN,1684618620
293,palapag,12.5458,125.1147,25.35,89,72,1.01,PH,1684618620
294,tbeng meanchey,13.8167,104.9667,26.08,79,100,1.63,KH,1684618620
295,sturgis,41.7992,-85.4192,16.89,53,75,4.12,US,1684618620
296,milton,34.1322,-84.3007,25.81,77,98,0.45,US,1684618620
297,aitape,-3.1374,142.3475,25.87,79,100,1.21,PG,1684618620
298,hithadhoo,-0.6,73.0833,27.96,72,11,1.6,MV,1684618620
299,n'zeto,-7.2312,12.8666,24.04,88,80,2.73,AO,1684618620
300,golfito,8.639,-83.166,27.42,88,100,1.09,CR,1684618621
301,colares,38.7992,-9.4469,18.82,53,78,7.6,PT,1684618621
302,ola,59.5833,151.2833,2.86,84,100,3.3,RU,1684618621
303,kavaratti,10.5669,72.642,29.22,70,6,3.49,IN,1684618621
304,fort mcmurray,56.7268,-111.381,19.77,45,0,2.57,CA,1684618621
305,tazovsky,67.4667,78.7,-3.78,93,71,2.74,RU,1684618621
306,midvagur,62.0511,-7.1939,8.46,81,13,6.69,FO,1684618621
307,urzhar,47.093,81.6294,11.26,71,87,2.04,KZ,1684618621
308,katsuura,35.1333,140.3,18.43,90,100,3.03,JP,1684618466
